Time,Current,Filtered,Current.1
0.594,6.330529e-10,,
0.595,6.327308e-10,,
0.596,6.330529e-10,,
0.597,6.330529e-10,,
0.598,6.330529e-10,,
0.599,6.33375e-10,,
0.6,6.330529e-10,,
0.601,6.33697e-10,,
0.602,6.340191e-10,,
0.603,6.340191e-10,,
0.604,6.340191e-10,,
0.605,6.346633e-10,,
0.606,6.349853e-10,,
0.607,6.356295e-10,,
0.608,6.349853e-10,,
0.609,6.353074e-10,,
0.61,6.362736e-10,,
0.611,6.353074e-10,,
0.612,6.359515e-10,,
0.613,6.362736e-10,,
0.614,6.365957e-10,,
0.615,6.369177e-10,,
0.616,6.365957e-10,,
0.617,6.369177e-10,,
0.618,6.372398e-10,,
0.619,6.378839e-10,,
0.62,6.378839e-10,,
0.621,6.38206e-10,,
0.622,6.38206e-10,,
0.623,6.378839e-10,,
0.624,6.388501e-10,,
0.625,6.385281e-10,,
0.626,6.38206e-10,,
0.627,6.38206e-10,,
0.628,6.391722e-10,,
0.629,6.388501e-10,,
0.63,6.391722e-10,,
0.631,6.385281e-10,,
0.632,6.391722e-10,,
0.633,6.388501e-10,,
0.634,6.394943e-10,,
0.635,6.385281e-10,,
0.636,6.391722e-10,,
0.637,6.398163e-10,,
0.638,6.394943e-10,,
0.639,6.398163e-10,,
0.64,6.398163e-10,,
0.641,6.394943e-10,,
0.642,6.391722e-10,,
0.643,6.398163e-10,,
0.644,6.388501e-10,,
0.645,6.398163e-10,,
0.646,6.394943e-10,,
0.647,6.398163e-10,,
0.648,6.391722e-10,,
0.649,6.394943e-10,,
0.65,6.391722e-10,,
0.651,6.391722e-10,,
0.652,6.391722e-10,,
0.653,6.388501e-10,,
0.654,6.385281e-10,,
0.655,6.391722e-10,,
0.656,6.391722e-10,,
0.657,6.391722e-10,,
0.658,6.391722e-10,,
0.659,6.391722e-10,,
0.66,6.388501e-10,,
0.661,6.394943e-10,,
0.662,6.394943e-10,,
0.663,6.388501e-10,,
0.664,6.38206e-10,,
0.665,6.385281e-10,,
