Time,Current,Filtered,Current.1,morph_signal,timing_signal
1.324,6.217805e-10,,,6.214906766666667e-10,-5.894196599999991e-12
1.325,6.217805e-10,,,6.21437e-10,-5.885983850000024e-12
1.326,6.208143e-10,,,6.213940566666667e-10,-6.8439710999999295e-12
1.327,6.211364e-10,,,6.213511166666667e-10,-6.513980450000065e-12
1.328,6.214585e-10,,,6.2131891e-10,-6.184150849999995e-12
1.329,6.211364e-10,,,6.212867033333333e-10,-6.498360200000033e-12
1.33,6.208143e-10,,,6.212544966666666e-10,-6.812247449999965e-12
1.331,6.211364e-10,,,6.212115533333333e-10,-6.4820957500001e-12
1.332,6.211364e-10,,,6.211686099999999e-10,-6.474205049999962e-12
1.333,6.214585e-10,,,6.211364033333333e-10,-6.1445364499999264e-12
1.334,6.204923e-10,,,6.211256666666666e-10,-7.1030067999999715e-12
1.335,6.211364e-10,,,6.2109346e-10,-6.4510161500000334e-12
1.336,6.211364e-10,,,6.210397833333334e-10,-6.443286550000069e-12
1.337,6.204923e-10,,,6.209968399999999e-10,-7.079495899999974e-12
1.338,6.204923e-10,,,6.209646333333334e-10,-7.071444199999904e-12
1.339,6.211364e-10,,,6.209216933333333e-10,-6.419292499999965e-12
1.34,6.211364e-10,,,6.208894866666667e-10,-6.411884950000037e-12
1.341,6.204923e-10,,,6.208572799999999e-10,-7.048416349999977e-12
1.342,6.211364e-10,,,6.208680166666667e-10,-6.396586750000143e-12
1.343,6.211364e-10,,,6.208465466666667e-10,-6.388857149999972e-12
1.344,6.211364e-10,,,6.208358099999999e-10,-6.3812885500000425e-12
1.345,6.208143e-10,,,6.208358099999999e-10,-6.696142000000048e-12
1.346,6.201702e-10,,,6.2083581e-10,-7.33299549999999e-12
1.347,6.204923e-10,,,6.208250733333333e-10,-7.00364894999999e-12
1.348,6.211364e-10,,,6.208143366666667e-10,-6.352302450000089e-12
1.349,6.208143e-10,,,6.207928633333333e-10,-6.667155899999991e-12
1.35,6.204923e-10,,,6.207928633333334e-10,-6.981909399999931e-12
1.351,6.201702e-10,,,6.207713933333334e-10,-7.296762900000005e-12
1.352,6.204923e-10,,,6.207391866666667e-10,-6.967577400000007e-12
1.353,6.204923e-10,,,6.2074992e-10,-6.960169849999975e-12
1.354,6.208143e-10,,,6.2074992e-10,-6.630923300000007e-12
1.355,6.208143e-10,,,6.207391833333333e-10,-6.623515750000078e-12
1.356,6.211364e-10,,,6.207284466666667e-10,-6.294330249999976e-12
1.357,6.204923e-10,,,6.207391799999999e-10,-6.931022700000021e-12
1.358,6.211364e-10,,,6.207284433333333e-10,-6.279676199999913e-12
1.359,6.211364e-10,,,6.207284433333333e-10,-6.272429650000019e-12
1.36,6.208143e-10,,,6.207177066666668e-10,-6.586800049999954e-12
1.361,6.208143e-10,,,6.207177066666666e-10,-6.579875549999993e-12
1.362,6.208143e-10,,,6.207284433333333e-10,-6.5726290499999615e-12
1.363,6.208143e-10,,,6.207499133333333e-10,-6.565543550000069e-12
1.364,6.204923e-10,,,6.207284433333332e-10,-6.8802970500001115e-12
1.365,6.204923e-10,,,6.207391799999999e-10,-6.8725674499999404e-12
1.366,6.201702e-10,,,6.207606499999999e-10,-7.18758195000005e-12
1.367,6.208143e-10,,,6.207713866666667e-10,-6.536718500000013e-12
1.368,6.204923e-10,,,6.2078212e-10,-6.851632999999987e-12
1.369,6.208143e-10,,,6.2080359e-10,-6.521903349999983e-12
